title,price,bedrooms,has_maid_room,bathrooms,area sqm,property_type,available from,location,amenities
A Full Sea view chalet 3BR for sale in north coast,16400000,3,Yes,3,1401507,Chalet,30 Apr 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
A Full Sea view chalet 3BR for sale in north coast,16400000,3,Yes,3,1401507,Chalet,30 Apr 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Sea View Chalet 1BR In Fouka Bay Fully Finished,10500000,1,Yes,1,50538,Chalet,21 Jun 2026,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Sea View Chalet 1BR In Fouka Bay Fully Finished,10500000,1,Yes,1,50538,Chalet,21 Jun 2026,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
chalet 3bed ready to move prime location old price,17500000,3,Yes,3,1441550,Chalet,4 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool"
chalet 3bed ready to move prime location old price,17500000,3,Yes,3,1441550,Chalet,4 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool"
apartment 2bed for sale ready to move old price !,5000000,2,Yes,2,1081163,Apartment,16 Jun 2026,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
apartment 2bed for sale ready to move old price !,5000000,2,Yes,2,1081163,Apartment,16 Jun 2026,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
First Row Armani Standalone Villa 5BR with 5% DP!,250000000,5,Yes,6,3253498,Villa,22 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water"
First Row Armani Standalone Villa 5BR with 5% DP!,250000000,5,Yes,6,3253498,Villa,22 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water"
NewLunch 3BR Direct Lagoon And SeaView Over 10Year,15200000,3,No,3,1651776,Chalet,22 Jun 2026,"June, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study"
NewLunch 3BR Direct Lagoon And SeaView Over 10Year,15200000,3,No,3,1651776,Chalet,22 Jun 2026,"June, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study"
First Row Chalet FF Instalment Up to 8 Years Plan!,11000000,2,No,3,1101184,Chalet,22 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet"
First Row Chalet FF Instalment Up to 8 Years Plan!,11000000,2,No,3,1101184,Chalet,22 Jun 2026,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet"
Own the Lowest-Priced 3-Bedroom Chalet Finished,21838000,3,No,3,1261356,Chalet,22 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym"
Own the Lowest-Priced 3-Bedroom Chalet Finished,21838000,3,No,3,1261356,Chalet,22 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym"
Ready to Move Apartment for sale in Mountain View,12180000,3,Yes,3,1992142,Apartment,21 Jun 2026,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study"
Ready to Move Apartment for sale in Mountain View,12180000,3,Yes,3,1992142,Apartment,21 Jun 2026,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study"
LUXURY APARTMENT FOR SALE WITH OUT DP IN BADYA,12000000,3,Yes,3,1621744,Apartment,22 Jun 2026,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza","Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security"
LUXURY APARTMENT FOR SALE WITH OUT DP IN BADYA,12000000,3,Yes,3,1621744,Apartment,22 Jun 2026,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza","Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security"
HOT DEAL Twin Villa 5BD+Nanny Resale Ready to Move,21500000,5,Yes,5,3854144,Twin House,14 Jun 2026,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
HOT DEAL Twin Villa 5BD+Nanny Resale Ready to Move,21500000,5,Yes,5,3854144,Twin House,14 Jun 2026,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
HOT DEAL Modern Twin Villa 285 sqm Ready to Move,19700000,4,Yes,4,2853068,Twin House,15 Jun 2026,"La Vista City, New Capital Compounds, New Capital City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
HOT DEAL Modern Twin Villa 285 sqm Ready to Move,19700000,4,Yes,4,2853068,Twin House,15 Jun 2026,"La Vista City, New Capital Compounds, New Capital City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security"
LOWEST PRICE Mivida Crescent 234m Prime Location,27000000,3,Yes,2,2342519,Apartment,15 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Maids Room, Security"
LOWEST PRICE Mivida Crescent 234m Prime Location,27000000,3,Yes,2,2342519,Apartment,15 Jun 2026,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Maids Room, Security"
