title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet
A Full Sea view chalet 3BR for sale in north coast,16400000,3,True,3,1401507,Chalet,2026-04-30,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Sea View Chalet 1BR In Fouka Bay Fully Finished,10500000,1,True,1,50538,Chalet,2026-06-21,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Fouka Bay,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
chalet 3bed ready to move prime location old price,17500000,3,True,3,1441550,Chalet,2026-06-04,"Marassi, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool",North Coast,Marassi,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Maids Room', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
apartment 2bed for sale ready to move old price !,5000000,2,True,2,1081163,Apartment,2026-06-16,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
First Row Armani Standalone Villa 5BR with 5% DP!,250000000,5,True,6,3253498,Villa,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water",North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Study', 'View Of Water']",1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0
NewLunch 3BR Direct Lagoon And SeaView Over 10Year,15200000,3,False,3,1651776,Chalet,2026-06-22,"June, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study",North Coast,June,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
First Row Chalet FF Instalment Up to 8 Years Plan!,11000000,2,False,3,1101184,Chalet,2026-06-22,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet",Red Sea,Mesca,Partly furnished,"Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet","['Balcony', 'Covered Parking', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Shared Gym', 'Walk-In Closet']",1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
Own the Lowest-Priced 3-Bedroom Chalet Finished,21838000,3,False,3,1261356,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym",North Coast,Almaza Bay,Unfurnished,"Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym","['Balcony', 'Central A/C', 'Covered Parking', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Shared Gym']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Ready to Move Apartment for sale in Mountain View,12180000,3,True,3,1992142,Apartment,2026-06-21,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study",Cairo,Mountain View Hyde Park,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
LUXURY APARTMENT FOR SALE WITH OUT DP IN BADYA,12000000,3,True,3,1621744,Apartment,2026-06-22,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza","Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",Giza,Badya Palm Hills,Unknown,"Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0
