title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,area_sqft,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet,available_year,available_month,available_day,price_per_sqm,amenities_count,total_rooms,price_per_bedroom,price_per_bathroom,area_per_bedroom,area_per_bathroom,amenities_per_room
A Full Sea view chalet 3BR for sale in north coast,16400000,3,True,3,140,Chalet,2026-04-30,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1507,North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,4,30,117142.85714285714,9,6,5466666.666666667,5466666.666666667,46.666666666666664,46.666666666666664,1.5
Sea View Chalet 1BR In Fouka Bay Fully Finished,10500000,1,True,1,50,Chalet,2026-06-21,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",538,North Coast,Fouka Bay,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,21,210000.0,9,2,10500000.0,10500000.0,50.0,50.0,4.5
chalet 3bed ready to move prime location old price,17500000,3,True,3,144,Chalet,2026-06-04,"Marassi, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool",1550,North Coast,Marassi,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Maids Room', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,4,121527.77777777778,9,6,5833333.333333333,5833333.333333333,48.0,48.0,1.5
apartment 2bed for sale ready to move old price !,5000000,2,True,2,108,Apartment,2026-06-16,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1163,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,16,46296.2962962963,9,4,2500000.0,2500000.0,54.0,54.0,2.25
First Row Armani Standalone Villa 5BR with 5% DP!,250000000,5,True,6,325,Villa,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water",3498,North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Study', 'View Of Water']",1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,2026,6,22,769230.7692307692,9,11,50000000.0,41666666.666666664,65.0,54.166666666666664,0.8181818181818182
NewLunch 3BR Direct Lagoon And SeaView Over 10Year,15200000,3,False,3,165,Chalet,2026-06-22,"June, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study",1776,North Coast,June,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,2026,6,22,92121.21212121213,9,6,5066666.666666667,5066666.666666667,55.0,55.0,1.5
First Row Chalet FF Instalment Up to 8 Years Plan!,11000000,2,False,3,110,Chalet,2026-06-22,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet",1184,Red Sea,Mesca,Partly furnished,"Balcony, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym, Walk-in Closet","['Balcony', 'Covered Parking', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Shared Gym', 'Walk-In Closet']",1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,2026,6,22,100000.0,9,5,5500000.0,3666666.6666666665,55.0,36.666666666666664,1.8
Own the Lowest-Priced 3-Bedroom Chalet Finished,21838000,3,False,3,126,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym",1356,North Coast,Almaza Bay,Unfurnished,"Balcony, Central A/C, Covered Parking, Shared Pool, Study, View of Water, Security, Shared Spa, Shared Gym","['Balcony', 'Central A/C', 'Covered Parking', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa', 'Shared Gym']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,2026,6,22,173317.46031746033,9,6,7279333.333333333,7279333.333333333,42.0,42.0,1.5
Ready to Move Apartment for sale in Mountain View,12180000,3,True,3,199,Apartment,2026-06-21,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study",2142,Cairo,Mountain View Hyde Park,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2026,6,21,61206.030150753766,9,6,4060000.0,4060000.0,66.33333333333333,66.33333333333333,1.5
LUXURY APARTMENT FOR SALE WITH OUT DP IN BADYA,12000000,3,True,3,162,Apartment,2026-06-22,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza","Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",1744,Giza,Badya Palm Hills,Unknown,"Balcony, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,2026,6,22,74074.07407407407,10,6,4000000.0,4000000.0,54.0,54.0,1.6666666666666667
